Time	BR_Ankle MN E	BR_Ankle MN F	BR_Hip MN E	BR_Hip MN F	BR_Knee MN E	BR_Knee MN F	
0.1352	-0.09985888	-0.05448811	-0.08871733	-0.07876678	-0.09983087	-0.08254991	
0.13728	-0.09990902	-0.05444469	-0.08867943	-0.07858084	-0.09989367	-0.08239485	
0.13936	-0.09994142	-0.05440205	-0.08864786	-0.07840003	-0.09993321	-0.0822423	
0.14144	-0.09996231	-0.05436016	-0.08862419	-0.07822332	-0.09995808	-0.08216108	
0.14352	-0.09997576	-0.05431893	-0.08860799	-0.07805003	-0.09997369	-0.08220888	
0.1456	-0.09998443	-0.05427833	-0.08859805	-0.07787973	-0.09998347	-0.08234068	
0.14768	-0.09999	-0.05423829	-0.08882135	-0.07771212	-0.09998959	-0.08252026	
0.14976	-0.09999358	-0.05436013	-0.09085743	-0.07754701	-0.09999344	-0.08267355	
0.15184	-0.09999588	-0.05472298	-0.09340107	-0.0773843	-0.09999588	-0.08275588	
0.15392	-0.09999736	-0.05522281	-0.09586785	-0.07722403	-0.09999744	-0.08275794	
0.156	-0.0999983	-0.05578494	-0.09740965	-0.07706741	-0.09999842	-0.08268671	
0.15808	-0.09999891	-0.05636102	-0.09837367	-0.07691576	-0.09999904	-0.0825551	
0.16016	-0.09999929	-0.05692236	-0.09897734	-0.07676979	-0.09999942	-0.08237691	
0.16224	-0.09999954	-0.05745354	-0.09935639	-0.07662904	-0.09999966	-0.08216459	
0.16432	-0.0999997	-0.05794743	-0.09959502	-0.07649145	-0.0999998	-0.0819285	
0.1664	-0.09999981	-0.0584019	-0.0997452	-0.07635413	-0.09999988	-0.08167689	
0.16848	-0.09999987	-0.05881756	-0.09983972	-0.07621634	-0.09999993	-0.08141609	
0.17056	-0.09999992	-0.05919649	-0.09989919	-0.0760782	-0.09999996	-0.08115083	
0.17264	-0.09999995	-0.05954145	-0.09993661	-0.07594013	-0.09999998	-0.0808846	
0.17472	-0.09999996	-0.05985539	-0.09996016	-0.07580258	-0.09999999	-0.08061984	
0.1768	-0.09999998	-0.06014124	-0.09997496	-0.07566591	-0.09999999	-0.08035829	
0.17888	-0.09999999	-0.06040176	-0.09998427	-0.0755304	-0.09999999	-0.08010108	
0.18096	-0.09999999	-0.06063947	-0.09999012	-0.07539625	-0.1	-0.07984895	
0.18304	-0.09999999	-0.06085665	-0.0999938	-0.07526357	-0.1	-0.07960232	
0.18512	-0.09999999	-0.06105534	-0.09999611	-0.07513243	-0.1	-0.07940598	
0.1872	-0.09999999	-0.06123736	-0.09999756	-0.07500289	-0.1	-0.07924767	
0.18928	-0.1	-0.06129183	-0.09999847	-0.07487494	-0.1	-0.07911129	
0.19136	-0.1	-0.06123549	-0.09999904	-0.07474861	-0.1	-0.07898756	
0.19344	-0.1	-0.06110313	-0.0999994	-0.07462387	-0.1	-0.07887124	
0.19552	-0.1	-0.06102235	-0.09999962	-0.07450071	-0.1	-0.0787594	
0.1976	-0.1	-0.06095307	-0.09999976	-0.07437912	-0.1	-0.07865046	
