Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0.1352	-0.06982458	-0.0999376	-0.07570731	-0.07448863	-0.06152012	-0.09983837	
0.13728	-0.06959604	-0.09989428	-0.07550153	-0.07453826	-0.0612728	-0.09987783	
0.13936	-0.06937265	-0.09987162	-0.07530255	-0.07501509	-0.06103282	-0.09990241	
0.14144	-0.06915387	-0.09986082	-0.07510903	-0.07556426	-0.06079918	-0.09991738	
0.14352	-0.06893928	-0.09985669	-0.07492006	-0.07605051	-0.06057116	-0.09992617	
0.1456	-0.0687286	-0.09985621	-0.07473527	-0.07643664	-0.06034824	-0.09993099	
0.14768	-0.06852158	-0.09985758	-0.07455447	-0.0767258	-0.06013001	-0.09993331	
0.14976	-0.06831805	-0.09991179	-0.07437745	-0.08087172	-0.05991613	-0.09993403	
0.15184	-0.06811784	-0.09994556	-0.07420389	-0.08613947	-0.05970635	-0.09993374	
0.15392	-0.06792085	-0.09996647	-0.07403345	-0.09138223	-0.05950044	-0.09993283	
0.156	-0.06772695	-0.09997936	-0.07386838	-0.09465321	-0.05930835	-0.09993152	
0.15808	-0.06753608	-0.09998729	-0.07371134	-0.09667112	-0.05919322	-0.09993	
0.16016	-0.06734813	-0.09999217	-0.07356385	-0.09792027	-0.05911664	-0.09992836	
0.16224	-0.06716305	-0.09999517	-0.07342499	-0.09869663	-0.05905877	-0.09992667	
0.16432	-0.06698076	-0.09999703	-0.0732924	-0.09918099	-0.05900933	-0.09992497	
0.1664	-0.06680121	-0.09999817	-0.07316343	-0.0994845	-0.05896286	-0.09992331	
0.16848	-0.06662434	-0.09999887	-0.07303466	-0.09967547	-0.05891646	-0.09992167	
0.17056	-0.0664501	-0.0999993	-0.07290232	-0.09979565	-0.05886855	-0.09992006	
0.17264	-0.06627844	-0.09999957	-0.07276615	-0.09987131	-0.05881832	-0.09991844	
0.17472	-0.06610929	-0.09999973	-0.07262711	-0.09991895	-0.05876536	-0.0999168	
0.1768	-0.06594262	-0.09999984	-0.07248644	-0.09994897	-0.05870951	-0.09991514	
0.17888	-0.0657784	-0.0999999	-0.07234519	-0.09996787	-0.05865077	-0.09991346	
0.18096	-0.06561656	-0.09999993	-0.07220417	-0.09997978	-0.05858925	-0.09991177	
0.18304	-0.06545707	-0.09999996	-0.07206397	-0.09998728	-0.05852508	-0.09991007	
0.18512	-0.06529988	-0.09999998	-0.07192495	-0.099992	-0.05845844	-0.09990837	
0.1872	-0.06514497	-0.09999999	-0.07178737	-0.09999496	-0.05838951	-0.09990668	
0.18928	-0.06499228	-0.09999999	-0.07165136	-0.09999683	-0.05828262	-0.09990501	
0.19136	-0.06484178	-0.09999999	-0.07151701	-0.09999801	-0.05813803	-0.09990337	
